family,variant,avg(area),avg(bottomLeftY),avg(stddevY),avg(bottomLeftX),avg(advance),avg(topRightX),avg(stddevX),avg(meanX),avg(topRightY),avg(meanY)
Open Sans,BoldItalic,786987.0334201389,-25.371252204585538,402.76654811102185,27.394141431198168,1131.9869791666667,1162.851851851852,277.25350729159294,578.924728427492,1437.416049382716,688.063248040914
Open Sans,Bold,808166.1826023387,-22.480392156862745,401.6968908748779,61.462566844919785,1197.0087719298247,1133.8458110516933,282.46672275514237,584.0606130318969,1436.0998560263267,687.4251047385119
Open Sans,ExtraBold,998582.3116228074,-26.555258467023172,400.13693941391574,48.21112509174793,1239.7201754385965,1188.8484848484848,293.84549501233084,605.3007413878286,1444.3778966131908,689.7228674591001
Open Sans,ExtraBoldItalic,976825.3218677663,-29.74514991181658,402.36616134113706,15.23915377653621,1189.6796875,1227.7460317460318,290.01543598398064,603.3278582609241,1446.0194003527338,691.6573322427363
Open Sans,Light,309069.77368421044,-12.80035650623886,411.50099875203824,77.60606060606061,1069.6991228070176,986.4746599118117,262.90329094207317,520.7864860664488,1419.3378246129112,683.268492179289
Open Sans,LightItalic,303654.8498987269,-15.065255731922399,411.7303705752607,50.256039268872776,1025.6119791666667,1038.384479717813,264.7202474477786,530.7056596921357,1419.7281237281236,683.3403615856228
Open Sans,Italic,468389.74565972266,-18.329805996472665,407.2689963978062,45.27378513265038,1050.295138888889,1072.3306878306878,264.7505207690748,544.384961778575,1425.4608279959157,684.111354814473
Open Sans,Medium,564147.7468932748,-17.492869875222816,405.2420178842646,70.88680926916221,1132.8666666666666,1059.2076648841355,270.8360544272044,552.3986929173072,1427.367234744365,684.554971973435
Open Sans,MediumItalic,550099.4845920139,-20.037918871252206,405.7732117982565,41.002030397336036,1070.8333333333333,1094.7451499118165,267.3391463553367,552.9821428366902,1428.5388007054673,684.8833287617399
Open Sans,Regular,479893.65157163737,-15.882352941176471,406.97001572366725,73.74866310160428,1111.3315789473684,1034.2701048951049,267.53015019538446,541.7853976330565,1424.3378229796592,683.9971621029315
Rubik,Black,261780.41029348748,19.2124910481191,177.33078052051192,28.512986211388434,594.0038560411311,589.080949032532,146.6057305946136,306.8459593792835,671.8165950744559,338.0183177028711
Open Sans,SemiBoldItalic,630395.7824074073,-21.775132275132275,404.57109412895727,36.8114815089387,1091.3741319444443,1117.3492063492063,270.263712461335,561.793240513714,1431.6499385388274,685.7977121829161
Open Sans,SemiBold,646885.5433479518,-19.106951871657753,403.81815659539694,67.94830659536542,1154.3921052631579,1084.177408762548,274.40903795882684,563.0889775383957,1430.4171462524405,685.3282346821873
Rubik,BoldItalic,200348.24448371906,21.494238531609664,177.38652635245512,18.14164102907135,562.2082262210797,585.2131405741181,142.57014990999866,298.8280350974185,664.4826460481099,336.6723140306048
Rubik,BlackItalic,262429.7342009425,19.32890556144083,177.34680105851072,9.168891465274905,594.8457583547557,629.7777051595268,152.03551843609134,316.9207341400718,672.1282534682449,338.4229170582923
Rubik,Bold,199861.91334618686,21.394419898543614,177.300666478116,37.747813276290664,561.8033419023136,546.2474803334909,136.5852367840086,289.84664480364404,664.1889576796654,336.3146592113439
Rubik,Italic,122169.2916131105,23.985210202886382,179.50916368124277,28.28419628300567,523.9987146529563,533.7015355934461,133.85138617306006,278.0118106897548,655.6220613102056,335.57475200039846
Rubik,ExtraBold,231454.5640531276,20.30645179815131,177.1717718315914,33.18575343449401,577.8984575835476,567.6577073123193,141.393355971818,298.3339336799897,668.1142182130584,337.1171041697416
Rubik,ExtraBoldItalic,231961.2923628964,20.417711672297784,177.22489853791052,13.694163316906833,578.5295629820051,607.4426354312769,147.0534289844957,307.8873643131626,668.4182130584193,337.5197652661899
Rubik,LightItalic,86755.75519494426,25.03433813900901,181.53367042933053,32.56846478927923,507.6478149100257,511.91899554009547,130.5387582869043,269.4348819797665,651.7136201427438,336.10766899996565
Rubik,Light,86703.39229862894,24.964459975934968,181.21509366141132,52.54396523156608,507.9061696658098,475.0316467393429,123.06670422066922,261.4305992819321,651.4440919904837,335.70466177759704
Rubik,Medium,161749.33295844044,22.631329639824706,177.91782400334785,42.83575412841824,542.9023136246786,521.2763005849764,131.5493113708828,279.76444334211754,659.6541423187167,335.4614037905661
Rubik,Regular,122002.55532347895,23.908634973991568,179.29258639018343,48.086741185871325,524.0809768637532,496.37440026794144,126.94090642449304,269.86916788796026,655.346110910914,335.24978008581036
Rubik,MediumItalic,162026.09211653817,22.718217618207525,178.0666007888496,23.216148009674065,543.0912596401029,559.3591553659498,137.9142375612172,288.32695819917274,659.9416421207658,335.8310032929711
Rubik,SemiBold,180443.727613539,22.000044596095233,177.58113841347284,40.38792405652315,552.0038560411311,533.357489862527,133.9145189523137,284.63779142665226,661.9724418902478,335.8470776084109
Heebo,Bold,660772.9863578557,48.87068965517241,342.24604293958964,72.97366312770691,1022.1375358166189,980.1639560897296,242.31376248143732,531.4334244000097,1272.1064020172491,657.4948906437188
Rubik,SemiBoldItalic,180833.5919023138,22.096676057417415,177.69698547608243,20.729251199055106,552.3419023136247,571.8639142554603,140.09279473298943,293.3798486480698,662.2610456553756,336.23392650519503
Heebo,Black,771077.7951186793,44.85057471264368,341.1576903230905,63.069251178879135,1038.9340974212034,1008.6650517261934,248.07777008921695,540.0176302021401,1277.0862860528273,657.4121273015179
Heebo,ExtraBold,680686.5493821631,48.160919540229884,342.01218935879257,71.21046080361405,1025.160458452722,985.2237241795061,243.28469883877017,533.0218291130419,1272.9655974195482,657.4653297814201
Heebo,Thin,152666.11936366276,65.54581587710817,356.0663487681216,106.53729681333931,943.6819484240688,860.2988155671919,229.76124027646063,490.7244188107749,1250.1206896551723,660.6404838347862
Heebo,ExtraLight,224010.28007628283,63.42512771392082,352.2874424451837,103.11143470929612,954.8051575931232,876.0251523636985,230.65244078793927,496.7046216306118,1253.0603448275863,659.1259304280221
Heebo,Regular,434136.51125903346,56.87628145386766,345.92504567755174,92.43446542850359,988.8939828080229,924.1663014141789,233.2471013933824,514.6474173895566,1262.1638757959151,658.7584155773266
Heebo,SemiBold,608630.2782746091,50.73275862068966,342.90600214613033,77.56271095305678,1014.3409742120344,966.998362343435,239.91503819043328,527.5180193112275,1269.7615749629865,657.6222344896624
Heebo,Medium,555646.1407697472,52.643525582341574,343.68985845538964,82.20003396894633,1006.5358166189112,953.8529795808927,237.66304717758962,523.6030582890279,1267.356403095914,657.8653811500842
Heebo,Light,294037.5771600382,61.29007170726563,349.62377713602035,99.69481036132281,966.1031518624642,891.7773554823632,231.31920904913488,502.691268688819,1255.9568965517242,658.5754225647797
